,,vs mejor embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Pesos,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
GLOVE+SKE,"[1,8]",-0.019,-0.024,0.610,0.545,0.4121183905,0.7427215565,0.714329921,0.7889567899,0.7898843589,0.7893545834,0.7428083442,0.6861711095,0.7702656957,0.728701763,0.7089523139,0.7135535653,0.4699257901,0.7123623408,0.5822079486,0.3149244612,0.5147605294
GLOVE+PDC,"[1,1]",-0.032,-0.044,0.597,0.525,0.4268824037,0.6723632631,0.6875794466,0.7742972274,0.7681195687,0.7726483374,0.7651847568,0.6998952591,0.7964299501,0.7664986534,0.6710544679,0.7900689573,0.343490459,0.8280850578,0.5110606584,0.2959162306,0.4764701036
GLOVE+PDC,"[2,1]",-0.032,-0.044,0.597,0.525,0.4268824037,0.6723632631,0.6875794466,0.7742989574,0.7681192866,0.7726496851,0.7651847568,0.6998952591,0.7964299501,0.7664986534,0.6710544679,0.7900689573,0.343490459,0.8280850578,0.5110606584,0.2959173032,0.4764668644
GLOVE+PDC,"[1,2]",-0.032,-0.044,0.597,0.525,0.4268824037,0.6723632631,0.6875794466,0.7742972274,0.7681195687,0.7726483374,0.7651847568,0.6998952591,0.7964299501,0.7664986534,0.6710544679,0.7900689573,0.343490459,0.8280850578,0.5110606584,0.2959157108,0.476469337
GLOVE+PDC,"[8,1]",-0.032,-0.044,0.597,0.525,0.4268810255,0.6723632631,0.6875765796,0.7743140631,0.7681167478,0.7726618336,0.7651952602,0.6999218803,0.7964837462,0.7664098575,0.6710544679,0.7900689573,0.343490459,0.8280850578,0.5110606584,0.2959343402,0.476473662
GLOVE+PDC,"[1,8]",-0.032,-0.044,0.597,0.525,0.4268824037,0.6723632631,0.6875794466,0.7742972274,0.7681195687,0.7726483374,0.7651847568,0.6998952591,0.7964299501,0.7664986534,0.6710544679,0.7900689573,0.343490459,0.8280850578,0.5110606584,0.2959157108,0.4764677622
W2V+FT,"[1,1]",-0.005,-0.009,0.669,0.609,0.4881765562,0.7348317964,0.7499290041,0.8274399423,0.8288637052,0.8280212623,0.7699590172,0.7176804492,0.8242532753,0.7185656289,0.7424601092,0.8474828204,0.479496576,0.8554579313,0.6109562904,0.4157039154,0.5763727925
W2V+FT,"[2,1]",-0.028,-0.032,0.646,0.586,0.4669137232,0.7196586731,0.7170872677,0.8054768319,0.8049421417,0.8054263007,0.7347564859,0.6807621381,0.7995881378,0.6889446616,0.7046267676,0.8043186104,0.4914163171,0.8287526889,0.5875697099,0.3941149661,0.5550854514
W2V+FT,"[1,2]",0.001,-0.001,0.675,0.617,0.4990363943,0.7306880415,0.7602536682,0.8345774107,0.8374059191,0.8356226776,0.7819842877,0.7312561201,0.8317696616,0.7321731796,0.758135433,0.8608364063,0.4637959822,0.863469504,0.6251594867,0.424067749,0.5828610064
W2V+FT,"[8,1]",-0.059,-0.063,0.615,0.555,0.4443891682,0.6928056182,0.6757889909,0.7754182911,0.7740402596,0.7749139494,0.6916483251,0.6302764048,0.7703704187,0.6533525899,0.6567014847,0.7653943279,0.4831125191,0.7893624564,0.5616937403,0.3666042885,0.5156110965
W2V+FT,"[1,8]",0.000,0.000,0.674,0.618,0.502811781,0.7268006536,0.7617655555,0.835432724,0.838543236,0.8365307278,0.7854158897,0.734028846,0.8338146293,0.735733392,0.7627362482,0.8617543288,0.4483809635,0.8518972323,0.6260403475,0.4258706724,0.5839733305
W2V+jointcHYB,"[1,1]",0.013,0.016,0.664,0.613,0.5491569466,0.6467263019,0.7086256215,0.7924389231,0.7996727652,0.7951339206,0.7645657399,0.6799826253,0.8316964989,0.7759277712,0.6769498717,0.8702341837,0.3247430612,0.8732614262,0.8179202778,0.56096402,0.3936987116
W2V+jointcHYB,"[2,1]",0.030,0.033,0.681,0.630,0.5546525718,0.6850067287,0.7355284826,0.8120579941,0.8193600798,0.8145768008,0.7753150553,0.7004351814,0.8387172441,0.7695713261,0.6967737297,0.8881992372,0.3702721687,0.8648047661,0.8114670151,0.5591870673,0.4359343125
