,vs media (NO MAPPING),,vs mejor word embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,,,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
Normalize: False. Generate words: False,,,,,,,,,,,,,,,,,,,,,,,
FT+jointcHYB+UKB,0.034,0.032,0.037,0.036,0.712,0.656,0.5814056798,0.733683475,0.7699108424,0.845207661,0.8519094751,0.8476409063,0.8144773581,0.7612922968,0.8683882848,0.8100672763,0.749317829,0.9082405438,0.4087161997,0.8990764938,0.8266495536,0.5694080392,0.4705475075
FT+jointcHYB+LEXVEC,0.025,0.020,0.025,0.020,0.700,0.640,0.551455583,0.7369918794,0.7926381925,0.850335615,0.8534748362,0.8515303691,0.8071449126,0.7515639471,0.8584094733,0.7861476751,0.7527583147,0.8958923014,0.4334606734,0.8732614262,0.7335682826,0.4860249979,0.5341908523
FT+UKB+LEXVEC,0.026,0.017,0.040,0.033,0.715,0.653,0.5531695686,0.7602862547,0.802847624,0.8573606766,0.8598650577,0.8583012602,0.8174848693,0.7700124166,0.8663239504,0.7956538611,0.7710273161,0.8916305187,0.4889125078,0.8692556398,0.760412652,0.4906174065,0.5711812483
jointcHYB+UKB+LEXVEC,0.041,0.035,0.047,0.036,0.701,0.646,0.5683585892,0.7325719587,0.7658158842,0.8377372289,0.846616649,0.8408250215,0.8116340814,0.7563358852,0.8631815429,0.8072526143,0.7515117293,0.891433821,0.3714486574,0.8926227269,0.8209786703,0.5537882145,0.4632896156
GLOVE+W2V+FT+jointcHYB,0.034,0.034,0.014,0.005,0.689,0.625,0.5179516454,0.7344683136,0.7799420968,0.8449616025,0.8513624927,0.8472674302,0.8023817013,0.7470102275,0.8528656094,0.7907868413,0.7404439711,0.8954770508,0.4441134267,0.8717036204,0.6953848822,0.4512699299,0.538118775
GLOVE+W2V+FT+UKB,0.042,0.038,0.027,0.016,0.702,0.636,0.5247080117,0.7554751839,0.7890446832,0.8526803049,0.8574205324,0.8544756935,0.8102161261,0.7603658051,0.8603604772,0.793757315,0.7516714902,0.9026892985,0.4664244792,0.88616896,0.7132920708,0.4566387681,0.5664920481
GLOVE+W2V+FT+LEXVEC,0.037,0.035,-0.011,-0.022,0.664,0.598,0.4738503811,0.7365085893,0.7656808964,0.8391134198,0.8412578793,0.8400250214,0.7832122275,0.7293577684,0.835368977,0.7616065027,0.7416583043,0.8457999626,0.452204049,0.8385446111,0.6242758903,0.377569401,0.5651814145
GLOVE+W2V+jointcHYB+UKB,0.047,0.047,0.051,0.032,0.705,0.642,0.5508261513,0.7438213967,0.7788968346,0.8443100966,0.852497991,0.8472336736,0.813831196,0.7583740918,0.8613058534,0.8137062322,0.7467811552,0.902798575,0.4464784706,0.88194063,0.7799092198,0.5170067301,0.495934122
GLOVE+W2V+jointcHYB+LEXVEC,0.044,0.045,0.025,0.041,0.679,0.614,0.5078907821,0.7326478535,0.7762634919,0.836955466,0.8440187642,0.8394442263,0.7978752087,0.7457249125,0.845131887,0.787707467,0.7430676508,0.8771623126,0.4351238463,0.8512296012,0.6903240361,0.4330924461,0.5279224277
GLOVE+W2V+UKB+LEXVEC,0.050,0.048,0.059,0.013,0.689,0.623,0.5129106308,0.7497772353,0.7843227144,0.8438224246,0.8488158322,0.8455240923,0.8060005906,0.7590876141,0.8532364436,0.793804226,0.7531123389,0.8751297701,0.4413702974,0.8661400282,0.7117026916,0.4379029266,0.5524160262
GLOVE+FT+jointcHYB+UKB,0.039,0.042,0.041,0.034,0.716,0.654,0.5639184743,0.7524160393,0.7930594419,0.8576706715,0.8653562485,0.8604535468,0.8259565897,0.7725410527,0.8731675272,0.8232827848,0.7649143974,0.907147779,0.4505469094,0.8832758921,0.7997367944,0.5261785889,0.5103369187
GLOVE+FT+jointcHYB+LEXVEC,0.033,0.034,0.015,0.007,0.690,0.627,0.5250215389,0.7436594539,0.7910894392,0.8509069513,0.8554539251,0.8524293934,0.8086313445,0.756163785,0.8559090321,0.7922913452,0.7575683942,0.8748456512,0.4305244793,0.8523423197,0.7203362216,0.4463764934,0.5407025002
GLOVE+FT+UKB+LEXVEC,0.037,0.036,0.026,0.016,0.701,0.636,0.5279756716,0.7600600932,0.7985553095,0.8567061398,0.8599521161,0.8579265175,0.8173630574,0.7696198481,0.8655514389,0.7990214032,0.7697672298,0.8775557079,0.4563730423,0.8636920477,0.7362081294,0.4495487072,0.5667490055
GLOVE+jointcHYB+UKB+LEXVEC,0.051,0.051,0.052,0.034,0.706,0.644,0.5538507443,0.7513555427,0.7887245927,0.8498015335,0.8574807501,0.8524867547,0.8194870577,0.765862514,0.8647021784,0.8126909434,0.76013507,0.8827135578,0.4238013994,0.8799377368,0.7983607913,0.5102867891,0.5020494664
W2V+FT+jointcHYB+UKB,0.043,0.034,0.060,0.046,0.714,0.656,0.5705556874,0.7428487248,0.7798434775,0.8455737952,0.8525597812,0.8481680622,0.8080715284,0.7564614921,0.8617713687,0.8021393115,0.7420430807,0.905967593,0.4646768404,0.8939579891,0.7828718665,0.5422509737,0.5157939522
W2V+FT+jointcHYB+LEXVEC,0.030,0.023,0.038,0.055,0.692,0.628,0.5294951147,0.7345898976,0.7811251746,0.8403963452,0.8466162948,0.8424931051,0.796780539,0.7428978194,0.8500983398,0.778873114,0.7386836005,0.8945372731,0.4572177009,0.8752643194,0.6922252729,0.4596674909,0.5455416357
W2V+FT+UKB+LEXVEC,0.041,0.022,0.029,0.019,0.704,0.639,0.532163566,0.7567704722,0.7912329104,0.8472903501,0.8523549044,0.8490670749,0.8024946466,0.7524341968,0.8556974343,0.7819491375,0.7496883544,0.8918709269,0.4955109001,0.8754868631,0.7139568198,0.4646729812,0.5722838881
W2V+jointcHYB+UKB+LEXVEC,0.051,0.036,0.051,0.036,0.705,0.646,0.5597536715,0.7433726274,0.7766747263,0.839319955,0.8470256223,0.8420424732,0.8080288328,0.7551937996,0.8584001486,0.7977916639,0.7484642705,0.8938597589,0.4422571889,0.8810504552,0.7752395634,0.5264223887,0.5085593445
FT+jointcHYB+UKB+LEXVEC,0.033,0.029,0.063,0.048,0.717,0.658,0.571056072,0.7493906541,0.7905488463,0.8536641061,0.8590050792,0.8555408058,0.8184472238,0.7662359602,0.8675411761,0.8052722985,0.7594210211,0.9018587973,0.4464342266,0.8939579891,0.7985632252,0.5359303243,0.520389394
GLOVE+W2V+FT+jointcHYB+UKB,0.041,0.039,0.034,0.027,0.709,0.647,0.5496200609,0.7486629269,0.7893631633,0.8518310991,0.859001544,0.8544294667,0.8154787251,0.7624182597,0.8649266873,0.8089950241,0.7518275009,0.9041317481,0.4612378734,0.8821631737,0.7577755408,0.5026848095,0.532274616
GLOVE+W2V+FT+jointcHYB+LEXVEC,0.040,0.035,0.010,0.000,0.685,0.620,0.5109828506,0.7383942834,0.7825505654,0.8438393684,0.8497334414,0.8459164473,0.8004684505,0.7484593939,0.8496435837,0.7851122816,0.7462178666,0.8801783435,0.4453743812,0.8612440671,0.6880781146,0.4336218505,0.5473215934
GLOVE+W2V+FT+UKB+LEXVEC,0.044,0.036,0.020,0.008,0.695,0.628,0.514448664,0.7552528299,0.7894764321,0.849490453,0.8538754223,0.8511078452,0.8069935004,0.759122859,0.8549672423,0.7868262097,0.7584452042,0.8834129273,0.4631001445,0.8694781835,0.7040430325,0.4365825778,0.567458123
GLOVE+W2V+jointcHYB+UKB+LEXVEC,0.056,0.050,0.049,0.028,0.703,0.638,0.5409152842,0.7493949691,0.7868413351,0.8454683107,0.8531318578,0.8481132565,0.8143086221,0.7627035936,0.860222042,0.8041531352,0.7563900634,0.8942094436,0.448829437,0.88616896,0.7549715584,0.4885235585,0.5247994763
GLOVE+FT+jointcHYB+UKB+LEXVEC,0.037,0.039,0.036,0.028,0.711,0.648,0.5524803647,0.7569951106,0.7981708083,0.8564686624,0.8622633738,0.8585531707,0.8208871436,0.7689348217,0.866151803,0.8111730364,0.764763637,0.8966135262,0.4450224402,0.8772672126,0.7796712233,0.4971887728,0.5347637538
W2V+FT+jointcHYB+UKB+LEXVEC,0.043,0.031,0.037,0.030,0.712,0.650,0.5568833295,0.7505283147,0.789308545,0.8480753314,0.8544328601,0.8502071962,0.8111862558,0.7599649878,0.862114229,0.7976492554,0.7524612943,0.9028422856,0.4714743308,0.8843886105,0.7620758922,0.5102717994,0.5392904204
GLOVE+W2V+FT+jointcHYB+UKB+LEXVEC,0.045,0.039,0.029,0.021,0.704,0.641,0.5397956265,0.7504087613,0.7922701736,0.8505131954,0.856946888,0.852818909,0.8138358339,0.7639577881,0.8609837943,0.80009198,0.7573516293,0.9003726372,0.4572539006,0.871258533,0.7467073334,0.4794763018,0.5451562138
Normalize: True. Generate words: False,,,,,,,,,,,,,,,,,,,,,,,
GLOVE+W2V,0.038,0.046,0.014,0.005,0.643,0.576,0.4479897579,0.7085366572,0.7365008244,0.8254658602,0.8262796765,0.8259428112,0.7592368469,0.7008397482,0.8207378817,0.747990575,0.6996554271,0.8461715026,0.4284289216,0.8409925916,0.587421988,0.3565678813,0.5305101407
GLOVE+FT,0.043,0.045,-0.005,-0.014,0.670,0.606,0.4810969734,0.7413826097,0.7713124457,0.8515555748,0.852921021,0.8521447625,0.7979582809,0.7437725685,0.8476438046,0.7763365674,0.7547534513,0.8538645669,0.4367789748,0.8443307469,0.6382438257,0.3851316478,0.5665304807
GLOVE+jointcHYB,0.044,0.046,0.032,0.013,0.686,0.619,0.5313183236,0.7254736367,0.7759566371,0.8404474444,0.8504138954,0.8438376641,0.8028273444,0.7380970104,0.8536761368,0.8091525111,0.7324799256,0.8812711083,0.4129415036,0.867697834,0.7684607651,0.4806328745,0.4560983068
GLOVE+UKB,0.059,0.063,0.081,0.034,0.711,0.644,0.5504624026,0.7487741039,0.78308583,0.8530588778,0.8596743875,0.8554958455,0.823713915,0.7717851615,0.8683983267,0.8317452003,0.756982604,0.8927451388,0.4453241039,0.8952932512,0.8112919372,0.5100685085,0.4995401578
GLOVE+LEXVEC,0.045,0.055,0.011,0.006,0.641,0.579,0.4625339162,0.7296468358,0.7544810304,0.8297719931,0.8303269464,0.8300899614,0.7756120142,0.7288673389,0.8255508364,0.7540186429,0.7387248534,0.7764968183,0.4020011642,0.8067208639,0.6265163406,0.3494826194,0.5374379706
W2V+FT,0.018,0.013,-0.011,-0.016,0.664,0.604,0.4818120794,0.728241132,0.7471992677,0.8286110482,0.8318909785,0.8297173105,0.7515130485,0.6918234209,0.8187431236,0.726495269,0.7028108932,0.8521817091,0.4801180034,0.8654723972,0.5916019733,0.4007529031,0.5793282349
W2V+jointcHYB,0.019,0.020,0.025,0.014,0.679,0.620,0.5395715529,0.7011136882,0.7439026243,0.8152156419,0.8197940393,0.8169022328,0.775813488,0.7149459677,0.8374031856,0.7704609604,0.6998346893,0.8859918523,0.4466574578,0.8652498535,0.71578146,0.5055102076,0.4728728267
W2V+UKB,0.040,0.026,0.072,0.035,0.702,0.645,0.5577762115,0.7414276547,0.7606203518,0.8257513227,0.8295983508,0.8272688425,0.7816870559,0.7243484894,0.8419277933,0.7826075674,0.7058748531,0.8880899607,0.4574089954,0.8857238726,0.7691638124,0.5358363184,0.5137563769
W2V+LEXVEC,0.022,0.021,0.012,0.008,0.642,0.581,0.4668787819,0.7181324006,0.7381722462,0.8148106213,0.8161738867,0.815391349,0.7415014245,0.6833736372,0.8130120494,0.7291373655,0.6966102185,0.8123395041,0.4558461363,0.8249694462,0.5714926327,0.3660813138,0.5503162815
FT+jointcHYB,0.029,0.026,0.031,0.030,0.706,0.650,0.5713282486,0.7206130693,0.7842633438,0.8501058709,0.8536668422,0.8515103028,0.8102891041,0.7537120129,0.8615102785,0.7964580502,0.7479617361,0.9116718253,0.4236525786,0.8886169406,0.7713085169,0.533482845,0.4992439809
FT+UKB,0.020,0.020,0.052,0.048,0.727,0.668,0.5789117487,0.7545794221,0.7903395242,0.8570308173,0.8622716505,0.8588902017,0.8172838047,0.7696682162,0.8666653761,0.8081925103,0.761638923,0.9055741976,0.4915128496,0.8981863191,0.8054541827,0.5495145663,0.54179325
FT+LEXVEC,0.011,0.006,-0.004,-0.010,0.671,0.610,0.4954868686,0.7424512289,0.7765672178,0.8427584222,0.8421970896,0.8424696161,0.7811359699,0.7261321076,0.8404910797,0.7449279547,0.7485572769,0.8367300146,0.4685280812,0.8454434654,0.620229949,0.3933461938,0.5809951305
jointcHYB+UKB,0.036,0.033,0.009,0.005,0.663,0.615,0.5503969974,0.6650989371,0.7031597338,0.7862944642,0.7975833217,0.7901839609,0.7670445358,0.69606781,0.8354629408,0.7846967838,0.6833290587,0.8790418681,0.2613856248,0.8957383385,0.8299596205,0.5717153291,0.3776497474
jointcHYB+LEXVEC,0.026,0.021,0.032,0.023,0.686,0.629,0.5527553518,0.7226053714,0.7761993036,0.8356780773,0.8432342699,0.8381875153,0.798397922,0.7375668368,0.8518707408,0.7882888287,0.7434869296,0.8635901737,0.4098323557,0.859908805,0.7484198144,0.4970989249,0.4830558978
UKB+LEXVEC,0.026,0.018,0.073,0.035,0.703,0.645,0.5562293317,0.7419032125,0.7825995936,0.8431866869,0.8471971403,0.8446128141,0.8124073752,0.7623158995,0.863171501,0.8035650719,0.7606188531,0.8788014598,0.4236043124,0.8628018729,0.7943121144,0.5161690819,0.5174292597
GLOVE+W2V+FT,0.036,0.035,-0.011,-0.020,0.664,0.600,0.4711679737,0.7291226793,0.7598702536,0.8403772047,0.8430071498,0.8413835329,0.7795520067,0.7224013946,0.8334961566,0.7606867113,0.7323381659,0.8643113984,0.4511763811,0.848559077,0.6131009949,0.383422585,0.5650480575
GLOVE+W2V+jointcHYB,0.036,0.039,0.026,0.009,0.680,0.615,0.511770036,0.7220860377,0.7685308009,0.8353291106,0.8419961981,0.8377449172,0.7958184574,0.7386181854,0.8469580841,0.791083386,0.7296732333,0.8905596092,0.4367508196,0.8596862613,0.6969004005,0.4509759538,0.5078409483
GLOVE+W2V+UKB,0.047,0.050,0.070,0.025,0.700,0.635,0.5311417873,0.7507460998,0.7812877858,0.8462471762,0.8508773005,0.8479924708,0.8099499952,0.7584337082,0.8591296232,0.8052069581,0.7464661336,0.8985367923,0.4450526065,0.8799377368,0.7416902568,0.4750710317,0.5377981979
GLOVE+W2V+LEXVEC,0.045,0.050,0.020,0.011,0.650,0.584,0.4612635882,0.726711052,0.7537165707,0.8284491476,0.8306934139,0.8293965459,0.7694764077,0.7165616102,0.8270535398,0.7532312077,0.7235618147,0.8305012552,0.4330986768,0.8234116404,0.6134785067,0.3600203124,0.547225902
GLOVE+FT+jointcHYB,0.038,0.037,0.022,0.015,0.697,0.635,0.5360646296,0.7388014248,0.7920424446,0.8551641276,0.8607179118,0.8571982793,0.8139006274,0.7575057168,0.8638392895,0.8038783706,0.7565918273,0.8985367923,0.4292796135,0.8652498535,0.7378002442,0.4698486594,0.5292928914
GLOVE+FT+UKB,0.050,0.047,0.043,0.032,0.718,0.652,0.5504866376,0.7631936096,0.8013920439,0.8632848338,0.8679145108,0.8650875518,0.8281932624,0.7802611915,0.8737693259,0.81794833,0.7740837755,0.9018806526,0.4743220368,0.8888394843,0.7738963875,0.488510641,0.5611272152
GLOVE+FT+LEXVEC,0.035,0.036,-0.009,-0.018,0.666,0.602,0.4814453096,0.7433398835,0.7730393238,0.8454515567,0.8457291695,0.8456779871,0.7926524407,0.7415723852,0.8420059769,0.7618879689,0.7583897004,0.8267639996,0.4394074718,0.8470012712,0.637114026,0.3780286451,0.5659028132
GLOVE+jointcHYB+UKB,0.047,0.050,0.050,0.033,0.704,0.643,0.5619877332,0.7396111386,0.7722056486,0.844565854,0.8553020935,0.8483595619,0.8170261311,0.7582031164,0.8676717212,0.8225255067,0.7492383235,0.8935100741,0.4052551107,0.8910649211,0.8258644385,0.5468717107,0.4463485383
GLOVE+jointcHYB+LEXVEC,0.044,0.045,0.028,0.045,0.682,0.618,0.5208091086,0.736223032,0.7836110925,0.8425294861,0.8490889633,0.8448126651,0.803345147,0.7498958122,0.8494061637,0.7941208755,0.749245824,0.8562249388,0.4174021052,0.8518972323,0.7258894744,0.4432755745,0.5150475883
GLOVE+UKB+LEXVEC,0.049,0.055,0.068,0.024,0.698,0.634,0.5331850257,0.7546865378,0.7926254805,0.8507736522,0.8550661446,0.8522841895,0.8178076093,0.7711050094,0.8632209934,0.80731963,0.7648461427,0.8650326232,0.4266491054,0.8605764361,0.7660479725,0.4634949903,0.5423762199
W2V+FT+jointcHYB,0.030,0.023,0.019,0.014,0.694,0.634,0.5392483063,0.7236783057,0.7733881357,0.8390329935,0.8457972797,0.8412619801,0.7919594909,0.7366879633,0.847246431,0.7743830579,0.728587909,0.8989738982,0.4612861396,0.878379931,0.7061685879,0.4850523811,0.5361541822
W2V+FT+UKB,0.041,0.028,0.039,0.033,0.714,0.653,0.5536956267,0.75553128,0.7874452783,0.8487596514,0.8539555124,0.8505567017,0.8014643612,0.7512287453,0.8554743599,0.790135113,0.7386288468,0.897706291,0.5009227481,0.893290358,0.7466909199,0.5061141718,0.5659772258
W2V+FT+LEXVEC,0.024,0.015,-0.008,-0.018,0.667,0.602,0.482159531,0.7380003411,0.7632613793,0.8332654247,0.8360529758,0.8342784618,0.7664660319,0.7121121256,0.8270485188,0.7395264842,0.7254309427,0.852990355,0.4768157906,0.8512296012,0.6054686918,0.3887756971,0.5739588928
