Embeddings,Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
Normalize: False. Generate words: False,,,,,,,,,,,,,,,,,,,
W2V+FT+UKB,0.715,0.653,0.5504685712,0.7579215857,0.7861811371,0.8484554287,0.8541987657,0.8504411081,0.7991069679,0.7516543091,0.852979657,0.7862967852,0.7372645033,0.8973128957,0.5103869462,0.8946256201,0.7376798781,0.5010727965,0.5779658318
W2V+FT+LEXVEC,0.666,0.601,0.4821107298,0.7375975148,0.7633638737,0.8329800417,0.8358568679,0.8340121117,0.7678738931,0.7161431704,0.8261411585,0.7390004104,0.725172175,0.8525969597,0.4769505338,0.8494492517,0.6062346577,0.3888070588,0.5653052456
W2V+jointcHYB+UKB,0.702,0.648,0.5694910776,0.7362387693,0.7533469284,0.8277541432,0.8359818586,0.830735496,0.7961080504,0.7400216084,0.8517315883,0.7965233906,0.7208736305,0.8979466993,0.4040585111,0.8863915037,0.8004945535,0.5621285485,0.4836302844
W2V+jointcHYB+LEXVEC,0.685,0.622,0.5296559014,0.7229442329,0.769259874,0.8292012338,0.8371769324,0.8319183283,0.7913509773,0.7366587175,0.8439390489,0.7765325885,0.7294099653,0.8863633923,0.4504825544,0.8683654651,0.70262326,0.4668360953,0.5181222159
W2V+UKB+LEXVEC,0.698,0.636,0.53410254,0.7552416614,0.7810563781,0.838362684,0.8436904727,0.8402018707,0.7960612626,0.743581721,0.8504541111,0.7815235874,0.7377085337,0.8851832063,0.4636994498,0.8674752903,0.7263627319,0.4755006876,0.5546917689
FT+jointcHYB+UKB,0.719,0.665,0.5814056798,0.7391557698,0.7698788071,0.845207661,0.8519094751,0.8476409063,0.8151457545,0.762624855,0.8683208604,0.8088827727,0.7518717539,0.9082405438,0.4326119926,0.8990764938,0.8266495536,0.5694080392,0.519630287
FT+jointcHYB+LEXVEC,0.700,0.642,0.551455583,0.7369918794,0.7926381925,0.850335615,0.8534748362,0.8515303691,0.8071449126,0.7515639471,0.8584094733,0.7861476751,0.7527583147,0.8958923014,0.4334606734,0.8732614262,0.7335682826,0.4860249979,0.542171056
FT+UKB+LEXVEC,0.716,0.655,0.5531695686,0.767160192,0.8028217026,0.8573606766,0.8598650577,0.8583012602,0.8179944875,0.7712126189,0.8665319619,0.7938729172,0.7740822754,0.8916305187,0.4828852657,0.8692556398,0.760412652,0.4906174065,0.5841776506
jointcHYB+UKB+LEXVEC,0.702,0.648,0.5683585892,0.7338322186,0.7657898057,0.8377372289,0.846616649,0.8408250215,0.8111883019,0.7558844502,0.8633594286,0.8062289485,0.750997194,0.891433821,0.3691781347,0.8926227269,0.8209786703,0.5537882145,0.4769781235
GLOVE+W2V+FT+jointcHYB,0.690,0.626,0.5179516454,0.7329024438,0.7799420968,0.8448876244,0.8511995036,0.8471643852,0.8030090391,0.7497713301,0.8516612948,0.7919914496,0.7404439711,0.8954770508,0.4482562758,0.8717036204,0.6953848822,0.4512699299,0.5429443881
GLOVE+W2V+FT+UKB,0.704,0.637,0.5247080117,0.7575314509,0.7890167849,0.8526218684,0.8574072981,0.8544482285,0.8114128286,0.7646994314,0.8588541874,0.7941108231,0.7542546672,0.9026892985,0.475774045,0.88616896,0.7132920708,0.4566387681,0.5706042682
GLOVE+W2V+FT+LEXVEC,0.663,0.597,0.4738503811,0.7357425341,0.7656808964,0.8390733361,0.8411565423,0.8399748899,0.7848218353,0.7330956053,0.8350232476,0.7621727859,0.7416583043,0.8457999626,0.4510919153,0.8385446111,0.6242758903,0.377569401,0.5574355067
GLOVE+W2V+jointcHYB+UKB,0.709,0.647,0.5508261513,0.7480862279,0.7788764248,0.8444710534,0.8531556375,0.8475618621,0.8143739612,0.7619908212,0.8590514396,0.8129724096,0.7481665001,0.902798575,0.4531371956,0.88194063,0.7799092198,0.5170067301,0.5215190159
GLOVE+W2V+jointcHYB+LEXVEC,0.679,0.614,0.5078907821,0.7313472348,0.7762634919,0.8368037587,0.8438293725,0.8393005858,0.7986351346,0.7487675996,0.8443034276,0.7889774157,0.7430676508,0.8771623126,0.4371228715,0.8512296012,0.6903240361,0.4330924461,0.529770225
GLOVE+W2V+UKB+LEXVEC,0.690,0.623,0.5129106308,0.7520022984,0.7842667345,0.8436835664,0.8488543227,0.8454745804,0.806509936,0.7621970416,0.8510279358,0.7934875765,0.7546229424,0.8751297701,0.4456378343,0.8661400282,0.7117026916,0.4379029266,0.5540464406
GLOVE+FT+jointcHYB+UKB,0.719,0.659,0.5639184743,0.7570552681,0.7930480522,0.8576706715,0.8653562485,0.8604535468,0.8266271686,0.7738166191,0.8732708157,0.8228337792,0.7673108115,0.907147779,0.4539174992,0.8832758921,0.7997367944,0.5261785889,0.536459672
GLOVE+FT+jointcHYB+LEXVEC,0.690,0.628,0.5250215389,0.7436594539,0.7910894392,0.8509069513,0.8554539251,0.8524293934,0.8086313445,0.756163785,0.8559090321,0.7922913452,0.7575683942,0.8748456512,0.4305244793,0.8523423197,0.7203362216,0.4463764934,0.5451386803
GLOVE+FT+UKB+LEXVEC,0.702,0.637,0.5279756716,0.7643586837,0.7985224626,0.8567061398,0.8599521161,0.8579265175,0.8177601395,0.7703348702,0.865286045,0.7986193086,0.7713580888,0.8775557079,0.4543458618,0.8636920477,0.7362081294,0.4495487072,0.5696228289
GLOVE+jointcHYB+UKB+LEXVEC,0.709,0.648,0.5538507443,0.7555081816,0.7887008445,0.8498015335,0.8574807501,0.8524867547,0.8200762014,0.7668917408,0.8644116796,0.8121698959,0.762295968,0.8827135578,0.4379232861,0.8799377368,0.7983607913,0.5102867891,0.5238717316
W2V+FT+jointcHYB+UKB,0.717,0.660,0.5705556874,0.7487332375,0.7798364342,0.8458646969,0.853408476,0.8486245056,0.8084961647,0.7595424237,0.8604895878,0.8015730283,0.7431801585,0.905967593,0.469376762,0.8939579891,0.7828718665,0.5422509737,0.5382931312
W2V+FT+jointcHYB+LEXVEC,0.692,0.629,0.5294951147,0.7327278096,0.7811251746,0.8401624493,0.8465137274,0.8423346391,0.7968937572,0.7454422032,0.8487462653,0.7785715431,0.7386836005,0.8945372731,0.4632107545,0.8752643194,0.6922252729,0.4596674909,0.5470546204
W2V+FT+UKB+LEXVEC,0.705,0.639,0.532163566,0.7620356427,0.7912008882,0.8472306,0.8522445764,0.8490304141,0.802739498,0.7557355966,0.8540247353,0.7814951057,0.7504631574,0.8918709269,0.4931398228,0.8754868631,0.7139568198,0.4646729812,0.5745458297
W2V+jointcHYB+UKB+LEXVEC,0.708,0.649,0.5597536715,0.7497419531,0.776613536,0.8392477385,0.8474603801,0.8421417324,0.8088356828,0.7571675155,0.8583535253,0.7981971093,0.7494265864,0.8938597589,0.4492758993,0.8810504552,0.7752395634,0.5264223887,0.5249234122
FT+jointcHYB+UKB+LEXVEC,0.720,0.662,0.571056072,0.755581792,0.7905397346,0.8536641061,0.8590050792,0.8555408058,0.8192498451,0.7678789737,0.8675598254,0.8044010935,0.7624909814,0.9018587973,0.4490808234,0.8939579891,0.7985632252,0.5359303243,0.5464438671
GLOVE+W2V+FT+jointcHYB+UKB,0.712,0.650,0.5496200609,0.7528414564,0.7893445732,0.8517797823,0.8590214045,0.8544394784,0.8160178073,0.7653949563,0.8635810684,0.8079395258,0.7530950877,0.9041317481,0.4748489428,0.8821631737,0.7577755408,0.5026848095,0.5470584208
