Embeddings,Weigths,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
FT+UKB+LEXVEC,[1 2 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9970501475
FT+UKB+LEXVEC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9970501475
FT+jointcHYB+UKB,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
FT+UKB+SKE,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FT+jointcHYB+LEXVEC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
W2V+FT+UKB,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9950835792
GLOVE+FT+UKB,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9965585054
FT+UKB+PDC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9950835792
GLOVE+FT+jointcHYB,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
FT+jointcHYB+UKB+SKE,[4 2 3 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
W2V+FT+jointcHYB+UKB+SKE,[1 5 3 4 2],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FT+jointcHYB+UKB+SKE,[3 1 4 2],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GLOVE+FT+jointcHYB+UKB,[1 4 2 3],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
FT+jointcHYB+UKB+SKE,[2 1 2 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
W2V+FT+jointcHYB+UKB+LEXVEC,[1 5 3 4 2],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+FT+jointcHYB+UKB+SKE,[1 5 3 4 2],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FT+jointcHYB+UKB+LEXVEC,[2 1 2 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
