Embedding,Preprocessing,Average,Weighted average,SimLex999,MTurk-287,MTurk-771,MEN_DEV,MEN_TEST,MEN_ALL,WS353_all,WS353_relatedness,WS353_similarity,WS353_set1,WS353_set2,RG65,VERB-143,MC-30,YP-130,SimVerb-3500,RW
PDC. Iter 20. Alpha 0.05. Dims 300,None- lower,0.599,0.529,0.427,0.670,0.688,0.774,0.768,0.773,0.765,0.700,0.796,0.766,0.671,0.790,0.343,0.828,0.511,0.296,0.500
HDC. Iter 20. Alpha 0.025. Dims 50,None- lower,0.518,0.433,0.281,0.654,0.601,0.709,0.708,0.708,0.661,0.588,0.736,0.720,0.558,0.723,0.346,0.768,0.372,0.173,0.410
HDC. Iter 20. Alpha 0.025. Dims 100,None- lower,0.559,0.465,0.324,0.651,0.633,0.737,0.740,0.738,0.708,0.647,0.780,0.755,0.609,0.804,0.369,0.822,0.452,0.199,0.443
HDC. Iter 20. Alpha 0.025. Dims 300,None- lower,0.593,0.515,0.407,0.656,0.670,0.763,0.754,0.760,0.745,0.674,0.801,0.760,0.651,0.806,0.416,0.808,0.491,0.278,0.489
GLOVE Wiki 50,L2 dimensionwise,0.473,0.422,0.292,0.657,0.581,0.678,0.696,0.684,0.567,0.530,0.639,0.636,0.489,0.603,0.250,0.583,0.403,0.183,0.395
GLOVE Wiki 100,L2 dimensionwise,0.517,0.452,0.329,0.649,0.613,0.716,0.721,0.718,0.594,0.573,0.660,0.661,0.521,0.694,0.331,0.653,0.485,0.212,0.407
GLOVE Wiki 200,L2 dimensionwise,0.551,0.483,0.376,0.658,0.656,0.748,0.755,0.750,0.637,0.597,0.688,0.687,0.560,0.744,0.335,0.692,0.545,0.239,0.432
GLOVE twitter 25,L2 dimensionwise,0.326,0.267,0.122,0.542,0.425,0.484,0.493,0.487,0.404,0.344,0.522,0.430,0.377,0.538,0.168,0.458,0.087,0.040,0.311
GLOVE twitter 50,L2 dimensionwise,0.389,0.332,0.156,0.576,0.523,0.587,0.607,0.594,0.519,0.481,0.607,0.543,0.495,0.608,0.199,0.496,0.197,0.079,0.338
GLOVE twitter 100,L2 dimensionwise,0.458,0.388,0.199,0.638,0.603,0.661,0.680,0.667,0.600,0.543,0.696,0.607,0.559,0.687,0.233,0.651,0.254,0.120,0.381
GLOVE twitter 200,L2 dimensionwise,0.511,0.449,0.275,0.653,0.635,0.738,0.753,0.743,0.645,0.592,0.730,0.661,0.600,0.714,0.283,0.758,0.323,0.188,0.404
