,vs media (NO MAPPING),,vs mejor word embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Media (Diferencia),Media Ponderada (Diferecia),Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
Normalize: False. Generate words: False,,,,,,,,,,,,,,,,,,,,,,,
W2V + jointcHYB + LEXVEC,0.032,0.024,0.028,0.044,0.682,0.617,0.5269757328,0.7201592234,0.7673210162,0.8274553271,0.8352046652,0.8300256067,0.7846517352,0.728623624,0.8392760059,0.7702347822,0.721552427,0.8831725191,0.4655074214,0.8763770378,0.6760442431,0.4580160586,0.5157125078
W2V + UKB + LEXVEC,0.036,0.026,0.059,0.058,0.689,0.631,0.5416915406,0.7438833309,0.782524644,0.8369580213,0.8446435955,0.8395085512,0.7905392167,0.744450096,0.8419650919,0.7743931103,0.7338720209,0.866125388,0.4516670875,0.8605764361,0.691754751,0.4686395105,0.545516059
FT + jointcHYB + UKB,0.034,0.035,0.037,0.038,0.712,0.658,0.5887823122,0.7302273422,0.7775491034,0.847626236,0.8566780903,0.8507965469,0.8116842794,0.7612191823,0.8660893996,0.8144400548,0.7398701818,0.9024926009,0.426574695,0.8903972901,0.8057769827,0.5686816537,0.4753142108
FT + jointcHYB + LEXVEC,0.026,0.018,0.026,0.018,0.701,0.638,0.5510394463,0.7348815468,0.7914069113,0.8485781264,0.8542966937,0.8504840652,0.8082710924,0.7538196224,0.8585665578,0.7843985637,0.7551607292,0.8907781621,0.4616360696,0.8852787853,0.7202760385,0.4811145883,0.5332251391
FT + UKB + LEXVEC,0.024,0.018,0.038,0.034,0.713,0.654,0.5635443804,0.7685684341,0.8058351216,0.8564931744,0.8641781183,0.8590996886,0.8153425905,0.7727637706,0.8620977315,0.7952567927,0.769668223,0.8910185704,0.4700746109,0.8792701057,0.7332208623,0.493239161,0.5679049644
jointcHYB + UKB + LEXVEC,0.043,0.034,0.049,0.035,0.703,0.645,0.5763878893,0.7324897182,0.772155704,0.8377931183,0.8500897657,0.8420773683,0.8074654701,0.7545575162,0.8617297664,0.8061602573,0.7362241821,0.8881555266,0.4131184797,0.9033048239,0.7917625422,0.5465947832,0.4611706464
GLOVE + W2V + FT + jointcHYB,0.034,0.032,0.013,0.003,0.688,0.623,0.5169539032,0.7290290165,0.7768802649,0.8449031451,0.8501261555,0.846772706,0.8037269514,0.754767111,0.8500782559,0.78497825,0.7438657055,0.8946246943,0.4426513629,0.8772672126,0.6926246694,0.4458535,0.541330969
GLOVE + W2V + FT + UKB,0.038,0.038,0.023,0.016,0.698,0.636,0.53197054,0.7553766983,0.7899763885,0.8526375736,0.8594777273,0.8550811386,0.8102383605,0.7683094118,0.8534021355,0.7919277847,0.7576051467,0.8928544153,0.4469912991,0.8730388825,0.7016794806,0.4558210169,0.5673772838
GLOVE + W2V + FT + LEXVEC,0.033,0.034,-0.015,-0.023,0.660,0.597,0.4760959554,0.7296557198,0.7609373264,0.838128551,0.8409927308,0.8391464232,0.7808435123,0.7333224477,0.828039801,0.7534540351,0.7408107462,0.8415163245,0.4497243728,0.8398798732,0.5957737519,0.3756767746,0.5661097599
GLOVE + W2V + jointcHYB + UKB,0.042,0.043,0.047,0.028,0.701,0.638,0.5542627843,0.7350394283,0.7809860367,0.845762996,0.8536300502,0.8485041327,0.8127638078,0.7660109926,0.8590478532,0.8130963888,0.7398214285,0.8983182393,0.4371510268,0.8866140474,0.7543615213,0.5044332735,0.4958888389
