Embeddings,Weigths,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
FT+jointcHYB+UKB,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT+jointcHYB+LEXVEC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT+jointcHYB+PDC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT+UKB+LEXVEC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT+UKB+PDC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT+LEXVEC+PDC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9926253687
jointcHYB+UKB+LEXVEC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
jointcHYB+UKB+PDC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9813176008
jointcHYB+LEXVEC+PDC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
UKB+LEXVEC+PDC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+jointcHYB,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+UKB,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+LEXVEC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9886922321
GLOVE+W2V+FT+PDC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9906588004
GLOVE+W2V+jointcHYB+UKB,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+jointcHYB+LEXVEC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+jointcHYB+PDC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+UKB+LEXVEC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+W2V+UKB+PDC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+LEXVEC+PDC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9926253687
GLOVE+FT+jointcHYB+UKB,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+jointcHYB+LEXVEC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+jointcHYB+PDC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+UKB+LEXVEC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+UKB+PDC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+LEXVEC+PDC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9926253687
GLOVE+jointcHYB+UKB+LEXVEC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+jointcHYB+UKB+PDC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+jointcHYB+LEXVEC+PDC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+UKB+LEXVEC+PDC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+jointcHYB+UKB,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+jointcHYB+LEXVEC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
